username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,sadness,tentative,analytical,joy,confident,fear,anger
RituNarula9,msg,n.a,31,65,9064,2019-11-02 02:47:53,2020-06-21 02:47:21,2,"On this #InternationalYogaDay take a pledge to do yoga daily because corona virus first mainly attack on respiratory system and meditation and yoga save us from corona virus.
#Internationalyogaday2020
#MyLifeMyYoga
Saint Dr. @Gurmeetramrahim Singh
@derasachasauda https://t.co/mBfqmCthkV",['internationalyogaday'],"['@Gurmeetramrahim', '@derasachasauda']","take pledge yoga daily corona virus first mainly attack respiratory system meditation yoga save corona virus.


saint dr singh
","[{'sentence_id': 0, 'text': 'take pledge yoga daily corona virus first mainly attack respiratory system meditation yoga save corona virus.', 'tones': [{'score': 0.557758, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.698634, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'saint dr singh', 'tones': []}]","[{'score': 0.544687, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.733641, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.815763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,1.0,,,
Mary50144110,n.a,n.a,186,69,10908,2019-06-21 04:21:01,2020-06-22 03:22:45,451,"Gov Whitmer declined nursing home leader's idea to put COVID-19 patients in vacant centers. Three days after the confirmation of first COVID-19 case, the state's nursing home association leader sent a letter to Whitmer's that empty facilities should be used as quarantine centers https://t.co/Tepz7kDSUi",[],[],gov whitmer decline nursing home leader's idea put patient vacant center three day confirmation first case state's nursing home association leader send letter whitmer's empty facility use quarantine center,,"[{'score': 0.893507, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
JeanannBogar,"+notmypresident   +resistance   +takeaknee   +americaindistress   +comeyday   +makeitcount4heather
   +blm  +iamashithole  +neveragain   +boycottnra",pa,1438,2691,149621,2016-10-21 01:49:50,2020-06-22 02:33:50,8258,"BREAKING UPDATE:  Florida sets another daily record with 4,671 new reported COVID-19 cases.",[],[],break update florida set another daily record new report case,,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
vampirebulba,"i am no man, i am dynamite                           
            nb writer + seamster + musician",they/them,189,75,1992,2019-10-15 14:21:20,2020-06-22 02:34:26,4,"global warming is real because of capitalism, the covid-19 pandemic is real because of capitalism, the violence of policing is real because of capitalism. these are all antihuman things spawned from the faucet of capitalism, the inherently white supremacist means of production",[],[],global warm real capitalism pandemic real capitalism violence police real capitalism antihuman thing spawn faucet capitalism inherently white supremacist mean production,,"[{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.696092, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
sunnysidept,n.a,n.a,191,9,4244,2012-12-10 03:10:54,2020-06-22 01:40:50,42,WHO records largest single-day increase in COVID-19 cases https://t.co/i7pTOl7tpI https://t.co/TPdiFOXUwe,[],[],record large single-day increase case,,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
_ZinhleNdzotho,please follow me ...,south africa,14605,17912,8382,2019-07-08 02:02:31,2020-06-21 03:57:00,1,At 8 am #MajorDaughter will post a clip video. Praying against Corona virus. Please don't miss out,['majordaughter'],[],post clip video pray corona virus please miss,,"[{'score': 0.535493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
reichslasagna,"any resemblance to persons, living or dead, is purely coincidental.",n.a,0,0,88,2020-06-07 15:36:14,2020-06-21 04:06:03,0,"@kshrzn @lmcdaniel64 it isn’t really a problem with the Chinese, it’s a problem with their despotic leadership that not only perpetuates racism (see: hatred of blacks) but has actual organ harvesting concentration camps for the Muslim uyghers. In my perfect world, it’d be called the CCP virus.",[],"['@kshrzn', '@lmcdaniel64']",isn’t really problem chinese it’s problem despotic leadership perpetuate racism see hatred black actual organ harvest concentration camp muslim uyghers perfect world it’d call ccp virus,,"[{'score': 0.514844, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.880356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,1.0
Zay_jj,god over everything • wu 24’🏴‍☠️🏈,"vancouver, wa",596,453,1353,2017-11-16 05:10:05,2020-06-23 01:10:03,40399,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
dporter721,"🇺🇲🇺🇲🇺🇲⏱️🇺🇲🇺🇲🇺🇲🔫🇺🇲🇺🇲#maga #patriot #ifbp
civil service ~ it/communications
when the swamp starts to fall they'll all go down. (no dms please)","colorado, usa",8133,7668,66128,2018-01-31 21:00:51,2020-06-21 03:44:54,858,"The Trump hater mocking empty seats 40 minutes out, not understanding security checks and now corona virus checks
ENEMY OF THE PEOPLE
@realDonaldTrump #TulsaTrumpRally https://t.co/07z8HAvugI",[],['@realDonaldTrump'],"trump hater mock empty seat minute understand security check corona virus checks
enemy people
","[{'sentence_id': 0, 'text': 'trump hater mock empty seat minute understand security check corona virus checks', 'tones': [{'score': 0.941308, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'enemy people', 'tones': [{'score': 0.583295, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]","[{'score': 0.518557, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.98445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
Lupe50017410,"🚫 ignorance🚫injustice 🚫narcissistic personality 
can't wait to get a real president in november 2020.🤩🤩🤩🤩",n.a,263,64,3235,2020-01-03 08:08:10,2020-06-22 02:10:53,336,"It’s June 21, and the Trump admin is still sitting on nearly $14 billion we fought to provide for testing &amp; tracing

And now he's admitted he directed officials to slow testing to keep case numbers low when there’s a spike in COVID-19 cases in many states!
https://t.co/OHN2IxZ7Rz",[],[],"it’s june trump admin still sit nearly billion fought provide test amp tracing

and he's admit directed official slow test keep case number low there’s spike case many states!
","[{'sentence_id': 0, 'text': 'it’s june trump admin still sit nearly billion fought provide test amp tracing', 'tones': [{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ""and he's admit directed official slow test keep case number low there’s spike case many states!"", 'tones': [{'score': 0.544275, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.592138, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]","[{'score': 0.573203, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
RichardReese3,"#ibelievejuanita father, husband, veteran - chinese linguist, attorney, conservative 1st & 2nd",midwest,4846,4345,59807,2011-07-30 23:30:33,2020-06-22 02:30:54,7,According to the local news this morning here in Columbus #Covid_19 deaths are “soaring”. How can this be? https://t.co/NweTshpRZU https://t.co/ZVlFQ4obEm,['covid_19'],[],accord local news morning columbus death “soaring”,,[],,,,,,,
mattd546,n.a,dartmouth massachusetts,310,156,7383,2009-12-09 07:58:24,2020-06-21 03:58:54,0,@YozTheElder @driggins67 @CoronaVirusPol @thejtlewis @realDonaldTrump No. Trump had press briefings everyday on covid and the seriousness of it smh. You KNOW Trump didn't tell anyone to drink or inject bleach. What about Pelosi telling people to not listen to Trump and go hang out in Chinatown during the virus?,[],"['@YozTheElder', '@driggins67', '@CoronaVirusPol', '@thejtlewis', '@realDonaldTrump']",trump press briefing everyday covid seriousness smh know trump tell anyone drink inject bleach pelosi tell people listen trump go hang chinatown virus,,[],,,,,,,
MST_RB,वसुधैव कुटुम्बकम,n.a,48,176,384,2019-10-17 04:10:57,2020-06-20 03:09:11,127,"After detailed consultation with experts, Railways is using non-AC coaches for COVID care centres for:

🔹 Lower transmission risk of COVID-19 Virus
🔹 Higher temperature which may aid in fighting COVID
🔹 Cross circulation of Air https://t.co/HJ5QhFnyuD",[],[],"detailed consultation expert railways use non-ac coach covid care centre for:

 low transmission risk virus
 high temperature may aid fight covid
 cross circulation air","[{'sentence_id': 0, 'text': 'detailed consultation expert railways use non-ac coach covid care centre for:', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ' low transmission risk virus', 'tones': []}, {'sentence_id': 3, 'text': ' high temperature may aid fight covid', 'tones': [{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 4, 'text': ' cross circulation air', 'tones': []}]","[{'score': 0.865388, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
ByIanJames,"climate and environment reporter, the arizona republic | have a tip? email me: ian.james@arizonarepublic.com follow our work at @azcenvironment","phoenix, arizona",1403,8124,22268,2009-04-03 15:29:52,2020-06-23 01:26:20,3,Another record day for COVID-19 hospitalizations in Arizona https://t.co/kca9wy5PWU #COVID19,['covid19'],[],another record day hospitalization arizona,,"[{'score': 0.516415, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
suzaniter,"design researcher & strategist, social scientist, people-watcher, grammar enthusiast, mom.",n.a,654,139,318,2009-06-18 23:03:35,2020-06-22 02:14:11,0,"Anyone else realize we’re all basically on one huge cruise ship around the sun, with no escape from other ppls’ bad decisions? If you’re gonna cough near the buffet, pls wear a mask. Smokey the Bear was right: #onlyyoucan prevent #forestfires. #covid #coronavirus #WearAMask https://t.co/m1iZZNUgWA","['onlyyoucan', 'forestfires', 'covid', 'coronavirus', 'wearamask']",[],anyone else realize we’re basically one huge cruise ship around sun escape ppls’ bad decision you’re gonna cough near buffet pls wear mask smokey bear right prevent,,"[{'score': 0.616915, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.794075, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,1.0,,,,,
anuragteddy,om namah shivāya.the universe bows to lord shiva.i bow to lord shiva. fan of amish's writings and ideas about our ancient culture n civilization.,india,2464,5263,257323,2010-01-06 13:29:18,2020-06-21 04:14:46,8,"After the vicious face-off between Indian and Chinese soldiers pierced straight through the heart of the BJP’s 56-inch-broad chest, the party’s social media warriors decided that offence would be the best defence. 

https://t.co/QWLZybf2TV",[],[],"vicious face-off indian chinese soldier pierce straight heart bjp’s chest party’s social medium warrior decide offence would best defence 

",,"[{'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.778006, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
basketballmygod,"a fool flatters himself, a wise man flatters the fool",n.a,1251,179,40092,2012-11-23 20:11:00,2020-06-22 03:22:33,87,.@GregAbbott_TX has been opening up the state despite rising COVID-19 cases — yet he refuses to be in a room with reporters from the state’s largest newspapers who want to ask him questions. https://t.co/h2F2Il5GE5,[],['@GregAbbott_TX'],open state despite rise case yet refuse room reporter state’s large newspaper want ask question,,"[{'score': 0.525821, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,1.0
AmitSin82476021,n.a,n.a,23,3,24,2013-02-07 14:31:55,2020-06-21 02:46:28,0,"@zlj517 Chinese amry is corona virus,
And Indian Army is Sanitizer",[],['@zlj517'],"chinese amry corona virus,
and indian army sanitizer","[{'sentence_id': 0, 'text': 'chinese amry corona virus,', 'tones': []}, {'sentence_id': 1, 'text': 'and indian army sanitizer', 'tones': [{'score': 0.650587, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]",[],,,,,,,
excalibur1151,"sao/yuki kajiura/zack snyder fans. fiat justitia ruat caelum.
""no one has more comtempt for you than jared kushner"". -tucker carlson","liberty prime(san antonio, tx)",254,171,22657,2020-03-17 21:58:08,2020-06-22 01:19:33,1055,"Trump - Shut the border 
Media - You’re a racist 
Trump - Shut the border 
Media - You didn’t do it fast enough 

Media - Chinese Wuhan virus 
Trump- Chinese Virus 
Media - You’re a racist 

Media We need a leader to give hope 
Trump- Have hope 
Media - You’re giving false hope",[],[],"trump shut border 
media you’re racist 
trump shut border 
media didn’t fast enough 

media chinese wuhan virus 
trump chinese virus 
media you’re racist 

media need leader give hope 
trump hope 
media you’re give false hope","[{'sentence_id': 0, 'text': 'trump shut border ', 'tones': [{'score': 0.517317, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'media you’re racist ', 'tones': []}, {'sentence_id': 2, 'text': 'trump shut border ', 'tones': [{'score': 0.517317, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 3, 'text': 'media didn’t fast enough ', 'tones': []}, {'sentence_id': 4, 'text': '', 'tones': []}, {'sentence_id': 5, 'text': 'media chinese wuhan virus ', 'tones': []}, {'sentence_id': 6, 'text': 'trump chinese virus ', 'tones': []}, {'sentence_id': 7, 'text': 'media you’re racist ', 'tones': []}, {'sentence_id': 8, 'text': '', 'tones': []}, {'sentence_id': 9, 'text': 'media need leader give hope ', 'tones': [{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 10, 'text': 'trump hope ', 'tones': [{'score': 0.998976, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 11, 'text': 'media you’re give false hope', 'tones': [{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.968547, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
Buttercup70,81 yrs young active senior,n.a,94,95,47504,2009-03-06 00:15:32,2020-06-22 01:36:58,6767,"There were so many directions he could have gone- Covid-19, unemployment, the murder of George Floyd, systemic racism, global warming, etc. Instead he chose the ‘whiny victim’ route. THIS is our president????? We deserve better. Register to vote. https://t.co/zMdYhSBOMh",[],[],many direction could go unemployment murder george floyd systemic racism global warm etc instead chose ‘whiny victim’ route president deserve good register vote,,[],,,,,,,
MindyBe,"proud lifelong #liberal #feminist #humanist #lgbtq supporter. member of #theresistance. also #spoonie, foodie, pop culture maven.",ne ohio,5002,1324,147554,2011-06-11 22:16:06,2020-06-21 04:01:45,20,"7. With respect to Covid-19, while POTUS and some of his supporters have been dismissive (particularly in the past month) of the threat the virus poses, it still made this event so challenging because many people are being responsible...regardless of their political affiliation",[],[],respect potus supporter dismissive particularly past month threat virus pose still make event challenge many people responsible...regardless political affiliation,,[],,,,,,,
yung_cocoa,n.a,broward/brooklyn,443,212,32077,2015-02-02 03:51:17,2020-06-22 01:21:51,29910,"Trump is cracking jokes in Tulsa about Covid-19, calling it ""kung flu"" which is not only racist but belittles the deaths of 122K Americans and the horrific loss for their families.",[],[],trump crack joke tulsa call kung flu racist belittles death american horrific loss family,,[],,,,,,,
MSNNZ,a mix of serious and quirky news from nz and around the world.,new zealand,772,882,56230,2010-09-26 21:55:37,2020-06-22 01:40:40,0,"Two new Covid-19 cases in managed isolation facilities, Bloomfield confirms https://t.co/UiMkOw5hIS",[],[],two new case manage isolation facility bloomfield confirms,,"[{'score': 0.948998, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
lifegunsamerica,"pro gun, pro life, pro america.",united states,80,30,1789,2019-12-17 20:25:50,2020-06-21 03:49:29,0,"@claster6772 @Ariesbunny2 @AdamTrahan Chinese is an adjective referring to things related to China, such as the virus. I would argue that calling it China’s virus would actually place more blame on the Chinese people.",[],"['@claster6772', '@Ariesbunny2', '@AdamTrahan']",chinese adjective refer thing relate china virus would argue call china’s virus would actually place blame chinese people,,"[{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.8766, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
Don_pachee,part-time let's player i guess | formerly of @cribcraft | armature illustrator / graphic designer | my instagram - https://t.co/uvk2dklgni,n.a,210,533,3338,2014-04-27 16:51:12,2020-06-20 02:54:42,303,"Thanks a lot jackasses, due to the spike in Corona Virus cases in the state, visitation at the hospital has been cut off completely. Hope brunch at that bar and grill was worth it, you selfish fucks. Eat a bag of dicks.",[],[],thanks lot jackass due spike corona virus case state visitation hospital cut completely hope brunch bar grill worth selfish fuck eat bag dick,,"[{'score': 0.597553, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,,1.0
Kle2071,n.a,"chattanooga
",101,143,2910,2011-09-28 22:00:14,2020-06-22 01:38:19,38356,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
EhrgottKevin,american university 2022 spa cleg econ,"washington, dc",127,38,154,2019-04-08 19:39:07,2020-06-20 02:48:27,25328,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
eeshahthegreat,"stop that madness, im a savage",dmv🤙🏽,256,275,1002,2017-12-15 12:38:18,2020-06-20 03:10:51,25997,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
harconsulting,"branding, marketing and political ranting.","new york, ny",666,467,24325,2014-05-07 01:37:42,2020-06-22 01:22:26,6437,"There were so many directions he could have gone- Covid-19, unemployment, the murder of George Floyd, systemic racism, global warming, etc. Instead he chose the ‘whiny victim’ route. THIS is our president????? We deserve better. Register to vote. https://t.co/zMdYhSBOMh",[],[],many direction could go unemployment murder george floyd systemic racism global warm etc instead chose ‘whiny victim’ route president deserve good register vote,,[],,,,,,,
gobidad11,"level 10 m.e. warrior #resist💙🌊🦩🐠🐡🦑🐙🦀🦞🐊
here right matters.-col. vindman","north carolina, usa",5893,5697,110284,2018-06-20 00:58:36,2020-06-21 03:14:05,0,@DeAnna4Congress weird. i'd want to know if he plans to help fight this deadly virus. 1 out of every 4 people on this planet that died from covid lives in the USA. tens of millions are unemployed and many are still waiting for UE benefits. and he drinks from a glass and you praise him? wow!,[],['@DeAnna4Congress'],weird i'd want know plan help fight deadly virus every people planet die covid life usa ten million unemployed many still wait ue benefit drink glass praise wow,,[],,,,,,,
VincenzoSava,etna is my land,n.a,333,273,156,2011-10-29 20:43:04,2020-06-22 01:18:19,1,Unmasked! The effect of face masks on the spread of COVID-19 https://t.co/JNO0d3bDBS,[],[],unmasked effect face mask spread,,"[{'score': 0.974776, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
andreinilla,n.a,n.a,2155,1328,584652,2009-08-02 14:34:12,2020-06-21 02:19:44,816,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,1.0,,,,,
caireland26,"from philly, where we are raised on soft pretzels, sarcasm & wyooder (not water),  mom of 2, peace corps -nepal 🇳🇵 & penn alum.","philly area, pa",2227,1959,3532,2016-12-01 01:12:47,2020-06-21 03:24:07,0,@CheriJacobus @UROCKlive1 Hilarious! - people dying of corona virus and he wants to make it harder to track.,[],"['@CheriJacobus', '@UROCKlive1']",hilarious people die corona virus want make hard track,,"[{'score': 0.828948, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
Neekko,"web dev, crafter, illustrator, crybaby // 32, asian, trans (he/him💉), infp-t // hawaii-born & raised 🤙🏽 // 🔞 // mutuals-only: @pvtneekko","seattle, wa",498,1055,62559,2009-04-29 17:34:19,2020-06-23 01:28:44,45220,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
100THS3,crypto investor,world citizen,388,272,78256,2014-06-13 16:06:01,2020-06-20 02:01:04,651,Trump's Tulsa rally should be called the COVID-19 rally because it will boost the virus more than Trump.,[],[],trump's tulsa rally call rally boost virus trump,,[],,,,,,,
GodBles14713338,n.a,n.a,2,2,15,2020-05-24 06:50:40,2020-06-21 02:42:43,0,@realDonaldTrump I love you Man. Thanks for saying “CHINESE VIRUS “. That’s true,[],['@realDonaldTrump'],love man thanks say “chinese virus that’s true,,"[{'score': 0.908045, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,1.0,,
PradhanNaksh,👑👑 pradhan g 👑👑,"noida, india",41,118,7746,2020-03-28 15:58:37,2020-06-22 03:39:12,2994,"🏋🏃 Is this the new normal?

Hong Kong gyms have reopened with new #Covid_19 #SocialDistancing and safety measures like glass partitions. More @business: https://t.co/JQ1OsTVBau https://t.co/5bC8ynkGUB","['covid_19', 'socialdistancing']",['@business:'],"new normal?

hong kong gym reopen new safety measure like glass partition","[{'sentence_id': 0, 'text': 'new normal?', 'tones': [{'score': 0.515832, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'hong kong gym reopen new safety measure like glass partition', 'tones': [{'score': 0.896021, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.789226, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.986578, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
BrandiUSN,"🙏god,family,country🇺🇸wifeof #combatvet #veteran #maga #greatawakening #yhwh🙏seek the lord while he may be found; call upon him while he is near. isaiah55:6","idaho, usa & a child of god ",7686,7061,79180,2010-08-01 22:41:59,2020-06-21 03:40:14,265,.@realDonaldTrump called it the Chinese Virus tonight https://t.co/ss8fOkbbJX,[],['@realDonaldTrump'],call chinese virus tonight,,[],,,,,,,
youngboyjav,its only my third day out here,tx ,306,393,30869,2016-08-13 04:55:15,2020-06-22 03:21:43,42273,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
AdaMbano_,mbano very own ❤️,nigeria,5684,5354,35445,2015-11-25 17:20:26,2020-06-22 01:38:34,0,COVID-19: Christ Embassy Church Shut Down In Akwa Ibom (Photos) https://t.co/yEBesF8Ytd,[],[],christ embassy church shut akwa ibom photo,,[],,,,,,,
ayodree_,ig: @ayodree_ sc: @nvgga #uwg,atl,814,1246,111883,2011-07-27 13:42:02,2020-06-22 02:30:56,3064,Ngl COVID-19 bout to choke slam the fck out of Florida.,[],[],ngl bout choke slam fck florida,,[],,,,,,,
CamdenConnie,n.a,n.a,234,83,15556,2018-06-27 18:22:00,2020-06-20 03:14:26,25974,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
vijaychavda9,v™ leads towards you prosperity ™ live your life your own way!!!™®© hindu from the soul | bjp supporter | proudly father of 1daughter = 21 son |,india,846,1409,178488,2009-09-19 06:13:07,2020-06-22 02:32:02,750,"Let make this clear in our mind once for all

It is NOT COVID-19 or CORONA

It Is #ChinaVirus or #WuhanVirus","['chinavirus', 'wuhanvirus']",[],"let make clear mind all

it corona

it","[{'sentence_id': 0, 'text': 'let make clear mind all', 'tones': [{'score': 0.993864, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.774376, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'it corona', 'tones': []}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'it', 'tones': []}]","[{'score': 0.997153, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.793961, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
jasmeenGdugal,"i worked with condenast india for five years before i launched my own portal https://t.co/2x0in0oa2l where i write on fashion, luxury, hospitality, heritage.",india,663,7515,12476,2009-06-06 08:22:41,2020-06-22 03:42:24,0,Been quite a few months of staying in our own little world at home! Will be difficult to leave the protective bubble but it is time to move on with life 😊 #COVID__19,['covid__19'],[],quite month stay little world home difficult leave protective bubble time move life,,"[{'score': 0.583592, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
