level_0,index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,document_tone,sentences_tone
581,1582,CapainN,"massive nintendo fan. 
hard follower of current politics! (vote blue!)
proud father of 5.
metal/thrash/hardcore music 

switch friend code: sw-0230-3848-8513",n.a,238,167,26529,2012-05-18 12:52:05,2020-06-22 01:40:24,38286,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,"{'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
582,1583,schwaid,can't just sit back and watch unless i'm on the ⛳️,new hampshire or los angeles,340,1302,59062,2008-03-01 22:38:51,2020-06-20 03:15:55,0,"@FoxNews But, but Trump said the virus was almost all gone. Did anyone tell the MLB? 

https://t.co/dYQmpkcc7u",[],['@FoxNews'],"trump say virus almost go anyone tell mlb 

","{'tones': [{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
583,1584,bpizano67,"proud progressive, politics junkie, sports junkie, idealist, eternal optimist, and hopeless dreamer.  fighting to keep democracy and the american dream alive",california,4380,3354,366109,2011-04-13 05:41:52,2020-06-21 03:24:48,0,Nazis and the Corona Virus are good people? https://t.co/SeoQUe39p6,[],[],nazis corona virus good people,{'tones': []},
584,1585,andrewakang,a reliable source for useless information,orange county,56,251,62874,2009-03-19 19:46:58,2020-06-22 03:21:36,114,"#BREAKING Largest single-day increase in worldwide #coronavirus cases reported on Sunday, WHO says https://t.co/Q38FDmp5Dc","['breaking', 'coronavirus']",[],large single-day increase worldwide case report sunday say,"{'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.780589, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
585,1586,gbread__10,yes it’s my real name • unm🐺,lost,471,369,14052,2018-04-18 22:01:01,2020-06-23 01:10:04,40399,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,"{'tones': [{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
586,1587,AlanRobby21,n.a,"cleveland, oh",174,187,1345,2016-10-12 11:47:40,2020-06-23 01:28:27,45409,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,"{'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
587,1588,ameri2rey,n.a,"charlotte, nc",70,8,411,2020-02-24 02:40:06,2020-06-21 02:21:19,42451,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
588,1589,sgoldreich,"former reporter, baltimore sun, congressional quarterly, washington times, washington examiner, montgomery gazette",n.a,270,156,15719,2009-10-27 22:04:05,2020-06-20 02:47:57,0,"@realDonaldTrump @TuckerCarlson #TraitorTrump has nothing to do with Covid-19 policy. He surrendered to the virus, just like he 
surrendered to Putin in Ukraine
surrendered to China on trade
surrendered to Syria's Assad
surrendered Iraq to Iran. 
#TrumPlague has killed 119,000 Americans.
#VoteBidenToSaveAmerica","['traitortrump', 'trumplague', 'votebidentosaveamerica']","['@realDonaldTrump', '@TuckerCarlson']","nothing policy surrender virus like 
surrendered putin ukraine
surrendered china trade
surrendered syria's assad
surrendered iraq iran kill americans.
","{'tones': [{'score': 0.733641, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'nothing policy surrender virus like ', 'tones': [{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'surrendered putin ukraine', 'tones': []}, {'sentence_id': 2, 'text': 'surrendered china trade', 'tones': []}, {'sentence_id': 3, 'text': ""surrendered syria's assad"", 'tones': []}, {'sentence_id': 4, 'text': 'surrendered iraq iran kill americans.', 'tones': [{'score': 0.506029, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]"
589,1590,CelloArtist,"cellist/portrait artist. loves life! principal cellist with former orchestra london canada, now london symphonia.","london, ontario, canada",435,380,7590,2010-08-08 16:14:27,2020-06-22 02:33:21,852,"President Trump is set to take off in about a half hour to his Oklahoma rally despite a spike in Covid-19 cases, with 352 new cases in the state on Friday alone — the second-largest one-day jump during the crisis.

My story 👇🏾👇🏾👇🏾

https://t.co/9SgdFQSZrT",[],[],"president trump set take half hour oklahoma rally despite spike case new case state friday alone second-largest one-day jump crisis.

my story 

","{'tones': [{'score': 0.888555, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.627908, 'tone_id': 'confident', 'tone_name': 'Confident'}]}","[{'sentence_id': 0, 'text': 'president trump set take half hour oklahoma rally despite spike case new case state friday alone second-largest one-day jump crisis.', 'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'my story', 'tones': []}]"
590,1591,joshua41597103,n.a,"san diego, ca",141,140,3008,2020-06-08 21:01:24,2020-06-22 01:18:17,21,"“This is a crisis that will involve the whole world and from which no one can self-isolate.” 
https://t.co/iNPcujjmTi",[],[],“this crisis involve whole world one self-isolate.”,{'tones': []},
591,1592,Hassan_bball,all-american🏅                                                               fw me on ig @hassan_bball,n.a,232,277,5025,2016-10-16 18:58:50,2020-06-22 03:21:01,26208,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,"{'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
592,1593,uutaughtyou,ig: uutaughtyou | morgan state | ♐️,ny ,832,1525,60873,2009-04-19 02:43:53,2020-06-23 01:07:40,435,Phase 4 is literally the “We’re actually going to ignore COVID-19 from this point on” phase,[],[],phase literally “we’re actually go ignore point on” phase,"{'tones': [{'score': 0.552572, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
593,1594,jossyboo,n.a,n.a,634,649,13081,2009-04-26 06:09:19,2020-06-23 01:09:41,26496,"Black Lives Matter. 
COVID-19 still exists. 
Arrest the cops who murdered Breonna Taylor. 
Defund the police. 
Fund community org &amp; education.
Find Vanessa Guillén. 
Justice for Oluwatoyin Salau. 
Hold pedophiles &amp; rapists accountable. 

Thanks for coming to my TED talk.",[],[],"black live matter still exist 
arrest cop murder breonna taylor 
defund police 
fund community org amp education.
find vanessa guillén 
justice oluwatoyin salau 
hold pedophile amp rapist accountable 

thanks come ted talk",{'tones': []},"[{'sentence_id': 0, 'text': 'black live matter still exist ', 'tones': []}, {'sentence_id': 1, 'text': 'arrest cop murder breonna taylor ', 'tones': []}, {'sentence_id': 2, 'text': 'defund police ', 'tones': []}, {'sentence_id': 3, 'text': 'fund community org amp education.', 'tones': []}, {'sentence_id': 4, 'text': 'find vanessa guillén ', 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': 'justice oluwatoyin salau ', 'tones': [{'score': 0.622945, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 6, 'text': 'hold pedophile amp rapist accountable ', 'tones': [{'score': 0.600355, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 7, 'text': '', 'tones': []}, {'sentence_id': 8, 'text': 'thanks come ted talk', 'tones': []}]"
594,1595,Jas47698127,"sinner who follows christ, conservative
""the inner machinations of my mind are an enigma"" p.s.
i hate people who hate people. visiosubrideophobic, xanthophobic",n.a,158,98,1156,2019-12-24 18:50:27,2020-06-21 02:36:01,0,"You knew this would happen, so predictable.
CNN's headline after rally: Trump said he wanted testing slowed down, uses racist terms for corona virus
https://t.co/BVJgFfpg0x",[],[],"knew would happen predictable.
cnn's headline rally trump say wanted testing slow us racist term corona virus
","{'tones': [{'score': 0.503635, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.668742, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'knew would happen predictable.', 'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': ""cnn's headline rally trump say wanted testing slow us racist term corona virus"", 'tones': []}]"
595,1596,Shirley40316331,n.a,n.a,2799,1599,15509,2018-06-26 02:21:25,2020-06-20 03:08:01,306,Surgical masks are as effective at blocking COVID virus as a chain link fence is at blocking smoke.,[],[],surgical mask effective block covid virus chain link fence block smoke,"{'tones': [{'score': 0.985928, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
596,1597,henry_head01,"i'm a christ follower, married to an incredible lady 33yrs,conservative, trump supporter, support the constitution,maga",united states,4954,3768,47125,2013-10-06 16:58:39,2020-06-21 02:22:10,799,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
597,1598,SalmanWasim02,@beingsalmankhan ❤️ fanboy .....upcoming pharmacist ...,"bengaluru, india",1659,3163,33127,2019-11-11 14:43:20,2020-06-21 04:20:32,13,"Wt Dangerous More then Corona Virus..?
Ans is Media Virus.. They hv Responsibility to spread the correct news bt they r not doing that just for money.. Shame on these type of Media Houses..

#PresstitutesCantHarmSALMAN",['presstitutescantharmsalman'],[],"wt dangerous corona virus..?
ans medium virus hv responsibility spread correct news bt money shame type medium houses..

","{'tones': [{'score': 0.665502, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.848841, 'tone_id': 'confident', 'tone_name': 'Confident'}]}","[{'sentence_id': 0, 'text': 'wt dangerous corona virus..?', 'tones': [{'score': 0.590091, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 1, 'text': 'ans medium virus hv responsibility spread correct news bt money shame type medium houses..', 'tones': [{'score': 0.718622, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]"
598,1599,honeynutbeerios,n.a,n.a,230,180,9840,2017-01-07 09:02:48,2020-06-23 01:10:07,40440,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,"{'tones': [{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
599,1600,UPROAR23,helping our southern neighbours take back their country from the #trumpmoronicplague #trumpisamoron #canadacares 🇨🇦🇨🇦🇨🇦🇨🇦#theresistance #blm,n.a,3378,3082,132945,2018-10-15 22:36:44,2020-06-22 01:38:35,6750,"There were so many directions he could have gone- Covid-19, unemployment, the murder of George Floyd, systemic racism, global warming, etc. Instead he chose the ‘whiny victim’ route. THIS is our president????? We deserve better. Register to vote. https://t.co/zMdYhSBOMh",[],[],many direction could go unemployment murder george floyd systemic racism global warm etc instead chose ‘whiny victim’ route president deserve good register vote,{'tones': []},
600,1601,DrDrebbles,gamer | he/him | straight | 21 yr old | artist | luigi #1 | weeb | switch fc: sw-0427-3771-4803 | discord: dr. drebbles#5317,"georgia, usa",1645,305,22081,2014-11-19 23:59:29,2020-06-23 01:28:14,165,"After rumors of the Sonic The Hedgehog ice bar being discontinued, Blue Bunny had confirmed any low stock is due to the COVID-19 situation and is not being discontinued! https://t.co/yzgkP9Sqtg",[],[],rumor sonic hedgehog ice bar discontinue blue bunny confirm low stock due situation discontinue,"{'tones': [{'score': 0.654808, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.821444, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
601,1602,rj_gibson,"a little of this, a little of that. several questionable decisions. sometimes i write poems.","baltimore, md",1859,439,3409,2013-01-10 16:28:11,2020-06-22 02:34:12,1278,"NYC friends: My neighbor passed away due to covid-19 &amp; his two cats are in need of a new, loving home. Suzi (f, 11) &amp; Sammy (m, 8) are healthy, adorable kitties. It would be ideal for them to be adopted together. Please let me know if you're interested, or spread the word https://t.co/rsjTdaU6uX",[],[],nyc friend neighbor pass away due amp two cat need new love home suzi amp sammy healthy adorable kitty would ideal adopt together please let know interested spread word,"{'tones': [{'score': 0.683034, 'tone_id': 'joy', 'tone_name': 'Joy'}]}",
602,1603,desiboy49413105,"namo fan, hindu, love indian army. allergic to libraandu, seculars and dhimmi hindu",n.a,767,32,504,2020-02-23 20:29:15,2020-06-22 03:38:02,0,@Imamofpeace @zlj517 it's a China virus. Originated in China. Why we should use Covid 19?,[],"['@Imamofpeace', '@zlj517']",china virus originate china use covid,{'tones': []},
603,1604,acidreign13,wtaf......just 🤬,"hell, usa",209,48,909,2017-01-09 18:06:16,2020-06-22 02:30:34,466,"My initial gut reaction seeing this picture was one of pity for Trump, an old man with a stressful job during a tumultuous time for our nation. Then I remembered how he called COVID-19 the Chinese Virus and the Kung Flu to rile up the mob against Asian Americans. No more empathy. https://t.co/PEzpiSHOQN",[],[],initial gut reaction see picture one pity trump old man stressful job tumultuous time nation remember call chinese virus kung flu rile mob asian americans empathy,"{'tones': [{'score': 0.595009, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
604,1605,Divifilius7,"panafricanist, a student of classical philosophy who believes in the rediscovery of our african identity. he who discovers his own self discovers god",ghana,885,167,7312,2018-04-08 20:52:17,2020-06-20 02:01:31,6,Is the President still thinking about trade after corona virus pandemic? Then he must start focusing on our ports. I wonder how a group of people can keep such organised chaos at the ports and still be depending on the same ports for their salaries.,[],[],president still think trade corona virus pandemic must start focus port wonder group people keep organised chaos port still depend port salary,"{'tones': [{'score': 0.659112, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.788547, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
605,1606,mamabonitamt,"i tell you, we are here on earth to fart around, and don't let anybody tell you different. ::kurt vonnegut::",in a van down by the river,219,61,867,2017-11-11 00:57:06,2020-06-21 02:28:53,20,"When the President of the United States uses racist terms like Kung Flu, Chinese Virus, or China Plague, my biggest fear as an Asian American is that it normalizes racism against us and there’s no way for us to fight it. We have very little representation in government and media.",[],[],president united state us racist term like kung flu chinese virus china plague big fear asian american normalizes racism there’s way fight little representation government medium,"{'tones': [{'score': 0.552886, 'tone_id': 'fear', 'tone_name': 'Fear'}]}",
606,1607,ram_davis,"#maga, #kag, christian, conservative, informist, #ifb, no dms,  #buildthewall, #wwg1wga, love my president, #trump2020landslide, it's a trump(fan)tastic day",usa baby,5505,5469,43874,2012-02-21 16:14:22,2020-06-21 03:23:38,17,"No more COVID-19, no more Chinese virus. It is now call the #KungFlu   😁😉",['kungflu'],[],chinese virus call,{'tones': []},
607,1608,Vijay_agneepath,"born on lord sun number i.e. great mind,heart,governance saturn in lagna means judiciary & mars lord means police i.e. rare combination of govt/judiciary/police",n.a,291,829,49978,2009-12-16 12:40:57,2020-06-20 03:12:56,0,China is just diverting their people attention in wake of worldwide backlash against them on Corona VIRUS spreading which will impoverish China as world will distance from them. Modi government had given huge thrust to infrastructure building along Chinese borders. Chowkidar,[],[],china divert people attention wake worldwide backlash corona virus spread impoverish china world distance modi government give huge thrust infrastructure building along chinese border chowkidar,{'tones': []},
608,1609,DTNolen,n.a,"kingwood, tx",80,11,508,2011-10-07 21:02:46,2020-06-22 01:18:52,0,@GregAbbott_TX do we know if the testing is actually accurate for COVID 19? Are we not detecting all viruses and colds with this testing? And for that masks are required? Please provided data that all positives are actually COVID 19! #nomasks #opentexas #nosheep,"['nomasks', 'opentexas', 'nosheep']",['@GregAbbott_TX'],know test actually accurate covid detect virus cold test mask require please provide data positive actually covid,"{'tones': [{'score': 0.980628, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.873089, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
609,1610,kimberlyochooaa,xy🦋❤️,"desert hot springs, ca",294,152,11262,2017-10-19 13:26:31,2020-06-22 01:21:33,16369,"Sharing Bc my parents have COVID-19 and this tea really helps them feel better for a few hours.
1. Boil a cup of water 
2. Cut a lime into 4 pieces 
3. Put the 4 slices into the boiling water
4. Put 3 aspirin pills into the boiling water and let them dissolve 
5. Add honey",[],[],share bc parent tea really help feel good boil cup water cut lime piece put slice boil put aspirin pill boil water let dissolve add honey,"{'tones': [{'score': 0.722123, 'tone_id': 'joy', 'tone_name': 'Joy'}]}",
610,1611,NYWFP,"wfp is ny’s progressive political party. our vision: to build a new york state that is fair for all of us, not just the wealthy and well-connected.",new york,2879,16147,12114,2014-10-06 16:03:45,2020-06-23 01:27:18,0,"The COVID-19 crisis revealed a stark tale of two cities in the Rockaways. 

We need @KhaleelAnderson — who has been fighting against that disparity for years — to bring the voices of Southeast Queens to the legislature.
https://t.co/bkAQTsOo1d",[],['@KhaleelAnderson'],"crisis reveal stark tale two city rockaways 

we need fight disparity year bring voice southeast queen legislature.
",{'tones': []},"[{'sentence_id': 0, 'text': 'crisis reveal stark tale two city rockaways ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'we need fight disparity year bring voice southeast queen legislature.', 'tones': [{'score': 0.510755, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]"
611,1612,ChromeChaos16,awaking more every day.  love it !! #thegreatawakening #wwg1wg  #trusttheplan #qanons #maga .  ask and answer every question till we figure the truth out,",mn",1721,1707,11047,2012-09-20 20:45:54,2020-06-22 03:20:13,2,"#NewQ #QAnon

How is it possible select [D] governors thought it was 'safe' to push COVID-19 positive elderly patients back into nursing homes [hot zones]?
https://t.co/j3vf9xW7uw📁
(cont) https://t.co/HVJd13tlpF https://t.co/ZsBd1iRPBA","['newq', 'qanon']",[],"

how possible select governor think safe push positive elderly patient back nurse home hot zones]?

(cont","{'tones': [{'score': 0.921915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'how possible select governor think safe push positive elderly patient back nurse home hot zones]?', 'tones': [{'score': 0.802757, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '(cont', 'tones': []}]"
612,1613,lissete_715,unicorns are my shit 🦄 | s. chavez 💜,n.a,357,482,26853,2012-07-16 03:06:02,2020-06-23 01:27:22,27514,"Black Lives Matter. 
COVID-19 still exists. 
Arrest the cops who murdered Breonna Taylor. 
Defund the police. 
Fund community org &amp; education.
Find Vanessa Guillén. 
Justice for Oluwatoyin Salau. 
Hold pedophiles &amp; rapists accountable. 

Thanks for coming to my TED talk.",[],[],"black live matter still exist 
arrest cop murder breonna taylor 
defund police 
fund community org amp education.
find vanessa guillén 
justice oluwatoyin salau 
hold pedophile amp rapist accountable 

thanks come ted talk",{'tones': []},"[{'sentence_id': 0, 'text': 'black live matter still exist ', 'tones': []}, {'sentence_id': 1, 'text': 'arrest cop murder breonna taylor ', 'tones': []}, {'sentence_id': 2, 'text': 'defund police ', 'tones': []}, {'sentence_id': 3, 'text': 'fund community org amp education.', 'tones': []}, {'sentence_id': 4, 'text': 'find vanessa guillén ', 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': 'justice oluwatoyin salau ', 'tones': [{'score': 0.622945, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 6, 'text': 'hold pedophile amp rapist accountable ', 'tones': [{'score': 0.600355, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 7, 'text': '', 'tones': []}, {'sentence_id': 8, 'text': 'thanks come ted talk', 'tones': []}]"
613,1614,TrishPutnam,"original profile from 2012. now more #resistance - y 

designer, decorator, artsy/craftsy, beach bum, obsessive gardener, devoted hound dog lover","florida, usa",3714,1929,34591,2012-05-11 19:46:02,2020-06-22 02:13:20,297,"It’s June 21, and the Trump admin is still sitting on nearly $14 billion we fought to provide for testing &amp; tracing

And now he's admitted he directed officials to slow testing to keep case numbers low when there’s a spike in COVID-19 cases in many states!
https://t.co/OHN2IxZ7Rz",[],[],"it’s june trump admin still sit nearly billion fought provide test amp tracing

and he's admit directed official slow test keep case number low there’s spike case many states!
","{'tones': [{'score': 0.573203, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}","[{'sentence_id': 0, 'text': 'it’s june trump admin still sit nearly billion fought provide test amp tracing', 'tones': [{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ""and he's admit directed official slow test keep case number low there’s spike case many states!"", 'tones': [{'score': 0.544275, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.592138, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]"
614,1615,esmeraldaxperez,ia,n.a,315,361,9667,2014-05-30 17:48:56,2020-06-22 01:38:53,23770,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,"{'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
615,1616,sanewman1,"biologist; editor, biological theory https://t.co/m2zs7nfyhm coauthor ""biotech juggernaut"" https://t.co/djkhbpaysg lockdown haircutter",n.a,637,826,11593,2009-01-22 16:41:22,2020-06-21 02:25:32,14,"""Documentary evidence indicates that the novel-bat-virus projects at Wuhan CDC and the Wuhan Institute of Virology used personal protective equipment and biosafety standards that would pose high risk of accidental infection..."" https://t.co/GFvgMstaTA https://t.co/KYlOhLLd5s",[],[],documentary evidence indicate novel-bat-virus project wuhan cdc wuhan institute virology use personal protective equipment biosafety standard would pose high risk accidental infection,"{'tones': [{'score': 0.643655, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
616,1617,barbls23,"i think, i feel, i am. adam lambert's my music passion & human rights 4 all is what i stand for! i'm not afraid to have an opinion &  express it! #theresistance","new york, ny",10144,10993,307839,2009-06-19 03:45:41,2020-06-21 02:34:05,99,"“Trump’s campaign acknowledged that six staff members working on the Tulsa event had tested positive for the virus.

“A campaign spokesman said, ‘No COVID-positive staffers will be at today’s rally.’

Trump was incensed the news was made public.” https://t.co/HIUWfESQFu",[],[],"“trump’s campaign acknowledge six staff member work tulsa event test positive virus.

“a campaign spokesman say ‘no covid-positive staffer today’s rally.’

trump incense news make public.”","{'tones': [{'score': 0.799869, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.901164, 'tone_id': 'confident', 'tone_name': 'Confident'}]}","[{'sentence_id': 0, 'text': '“trump’s campaign acknowledge six staff member work tulsa event test positive virus.', 'tones': [{'score': 0.859009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': '“a campaign spokesman say ‘no covid-positive staffer today’s rally.’', 'tones': []}, {'sentence_id': 2, 'text': 'trump incense news make public.”', 'tones': []}]"
617,1618,RiffRaffBriz,i see 👁 what i sea by ic. #photography of places - #beaches 🏖️  #surf 🌊 #surfing 🏄‍♂️#birds 🦜#sunsets 🌇 #travel - 📷 taken on 6yr old sony xperia z2,selatan,3407,3623,50457,2011-08-25 10:02:48,2020-06-23 01:08:59,0,"Two different approaches to #CoronavirusPandemic - Australia #coronavirusaustralia #auspol
7,472 cases 6,903 recovered 102 deaths. #COVID19au 

#Brazil 1.11M cases 579K recovered 51,407 deaths
Bolsanaro induced catastrophe! #coronavirusbrasil 
#COVID19 https://t.co/Nd5Gcud7Us","['coronaviruspandemic', 'coronavirusaustralia', 'auspol', 'covid19au', 'brazil', 'coronavirusbrasil', 'covid19']",[],"two different approach australia case recover death 

 case recover deaths
bolsanaro induce catastrophe","{'tones': [{'score': 0.770765, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.952024, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'two different approach australia case recover death ', 'tones': [{'score': 0.505445, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ' case recover deaths', 'tones': [{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'bolsanaro induce catastrophe', 'tones': [{'score': 0.967163, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]"
618,1619,erikgunn,"work, econ, health, more @wiexaminer; @localjudi spouse; he/him. send me tips: dm or erik (at) 👇 likes & rts ≠ endorsements, opinions = mine. for fun: 🚂🚃🚃🚃",wisconsin,1377,1203,48994,2008-06-13 22:46:33,2020-06-22 01:19:39,22,"If you’ve been out in large groups, it’s possible you’ve been exposed to COVID-19. 
Here’s what you can do:  
➡️Contact your doctor and ask to be tested 
➡️Take the online assessment at the link below
➡️Find a community testing site near you: https://t.co/VsT2Z79AmO",[],[],"you’ve large group it’s possible you’ve expose 
here’s 
contact doctor ask test 
take online assessment link below
find community test site near","{'tones': [{'score': 0.908592, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.884138, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'you’ve large group it’s possible you’ve expose ', 'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'here’s ', 'tones': []}, {'sentence_id': 2, 'text': 'contact doctor ask test ', 'tones': []}, {'sentence_id': 3, 'text': 'take online assessment link below', 'tones': [{'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': 'find community test site near', 'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]"
