index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,sadness,joy,tentative,confident,analytical,fear,anger
5568,AwHeckyNaww,n.a,united states,225,16,11472,2017-03-05 22:33:40,2020-06-20 03:05:39,26030,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,1.0,,
5569,slickrickspoker,we don't pick where we're born or who we're born to so why hold it against one another? (he/him/his),"houston, tx",84,99,8084,2010-01-17 20:08:05,2020-06-22 01:36:41,47,"NEW: @vicenews research has found that 38 governments around the world are using COVID-19 as an excuse to grab more power

Our exclusive report into one of those countries - Cambodia - is on @Showtime tonight

With @HindHassanNews @DanielBateman @AniUcar &amp; Phil Pendlebury https://t.co/LfC2z3PCmH",[],"['@vicenews', '@Showtime', '@HindHassanNews', '@DanielBateman', '@AniUcar']","new research find government around world use excuse grab power

our exclusive report one country cambodia tonight

with amp phil pendlebury","[{'sentence_id': 0, 'text': 'new research find government around world use excuse grab power', 'tones': [{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'our exclusive report one country cambodia tonight', 'tones': [{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'with amp phil pendlebury', 'tones': []}]","[{'score': 0.698156, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.573521, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
5570,ChristineHough6,red pill patriot🇺🇸 #wwg1wga....trump is my president❤❤❤....proud florida trumpett🇺🇸🇺🇸...#openupamerica #maga  #kag,"florida, usa",5997,6252,85966,2012-08-01 21:12:37,2020-06-23 01:26:23,3961,"This is an incredibly misleading headline.

COVID-19 has an incubation period of 2-14 days.

Attributing a spike to Trump’s rally that happened less than 48 hours ago is misleading.

Let’s call this what it is - FAKE NEWS!

https://t.co/SiJGZEYlyU",[],[],"incredibly mislead incubation period days.

attributing spike trump’s rally happen less hour ago misleading.

let’s call fake news!

","[{'sentence_id': 0, 'text': 'incredibly mislead incubation period days.', 'tones': [{'score': 0.539482, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'attributing spike trump’s rally happen less hour ago misleading.', 'tones': [{'score': 0.525929, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.8766, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'let’s call fake news!', 'tones': [{'score': 0.528732, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.556616, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.848841, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.948839, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,1.0,1.0,,
5571,Avi16318646,n.a,n.a,78,12,3073,2019-08-26 18:20:01,2020-06-21 03:17:31,64,"President @realDonaldTrump calls it as “THE CHINESE VIRUS”

President Trump is on fire 🔥🔥

#TulsaTrumpRally #MAGA2020 #DonaldTrump #TrumpRally https://t.co/io3aRaUTsr","['tulsatrumprally', 'maga2020']",['@realDonaldTrump'],"president call “the chinese virus”

president trump fire 

","[{'sentence_id': 0, 'text': 'president call “the chinese virus”', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'president trump fire', 'tones': []}]",[],,,,,,,
5572,sefiallos,whatever,n.a,297,695,2257,2013-10-05 05:05:51,2020-06-22 01:18:11,1,FUCK COVID-19😠I should be at the beach getting so fucking drunk rn,[],[],fuck beach get fuck drunk rn,,"[{'score': 0.814684, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,,1.0
5573,ReshamwalaJay,"मैंचेस्टर सिटी से प्यार, लीपलिंग ,वनडेरलउसत ,स्पोर्ट्स एँथउसीअसत ,सिनेमाप्रेमी,कराओके प्रेमी और अ हीडोंइसत्, वेगन.

कर्तव्य ही जीवन है.

थय नेफेलइबता ;)",i'm really a gypsy,3890,258,10728,2012-08-02 20:49:46,2020-06-22 03:23:23,2,"🛒 India’s ecommerce industry has recovered about 90% of its overall order volumes since restrictions on shipping of non-essential products were relaxed in early May, according to industry estimates https://t.co/R2dGH2Y6Oe @Alnoor_ET",[],['@Alnoor_ET'],india’s ecommerce industry recover overall order volume since restriction ship non-essential product relax early may accord industry estimate,,"[{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.747994, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
5574,branqonferrer,19 | 🇵🇭 | uci | black lives matter,bay area,492,720,5476,2015-01-03 08:04:25,2020-06-22 01:36:51,38386,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5575,madwoman1949,i have found my voice and a keyboard... tweets are my own.,n.a,1800,627,37430,2014-08-07 15:01:37,2020-06-20 03:17:22,0,"@Ron34001 @JessTurnr @lsferguson @TeaPainUSA We lost that most critical time for mitigation,and more,really. Part of the CDC staff he cut was from the unit of researchers we had cooperating with the Chinese in Wuhan,hence their 2017 warning about careless protocols there leading to another corona virus epidemic,e.g. #H1N1.",['h1n1'],"['@Ron34001', '@JessTurnr', '@lsferguson', '@TeaPainUSA']","lose critical time mitigation,and more,really part cdc staff cut unit researcher cooperate chinese wuhan,hence warn careless protocol lead another corona virus epidemic,e.g",,"[{'score': 0.652411, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5576,MrsShelby3,"maga, america first",n.a,4363,3917,31228,2018-09-03 21:27:17,2020-06-21 02:36:56,0,"@cnnbrk It is the Chinese virus. Viruses are named after their place of origin. West Nile disease , Rocky Mountain spotted fever  etc. Stop melting it’s fine really.",[],['@cnnbrk'],chinese virus virus name place origin west nile disease rocky mountain spot fever etc stop melt it’s fine really,,"[{'score': 0.565727, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
5577,cheerfulhobo,your favorite cousin. great in livestock emergencies. i'd like a ham steak and a slice of coconut cream pie please. she/her,n.a,5001,468,51899,2010-08-05 04:44:15,2020-06-22 03:39:57,1632,"NYC friends: My neighbor passed away due to covid-19 &amp; his two cats are in need of a new, loving home. Suzi (f, 11) &amp; Sammy (m, 8) are healthy, adorable kitties. It would be ideal for them to be adopted together. Please let me know if you're interested, or spread the word https://t.co/rsjTdaU6uX",[],[],nyc friend neighbor pass away due amp two cat need new love home suzi amp sammy healthy adorable kitty would ideal adopt together please let know interested spread word,,"[{'score': 0.683034, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
5578,pluna00,older millennial trying to survive the current political storm.🥰i’m a mom and teacher. #votebiden2020. #autismawareness #blacklivesmatter,nyc ,556,588,3156,2012-01-26 14:19:49,2020-06-21 04:12:12,0,@HeatherBeren2 @mofofuckyou @BlairDayton16 @weijia Except for the Corona virus in the air 🤢,[],"['@HeatherBeren2', '@mofofuckyou', '@BlairDayton16', '@weijia']",except corona virus air,,"[{'score': 0.53877, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,1.0,
5579,bestunitvk,"i love you more than love too @bts_twt
🍁fan account",𝘑𝘦𝘺𝘬𝘦𝘺𝘩𝘦𝘺,918,325,18270,2019-05-22 11:56:00,2020-06-23 01:27:04,6135,"""BTS &amp; BH have donated $1 million to Live Nation Crew Nation campaign. The fund was launched in March to support the live concert crews across the globe that have been impacted by COVID-19.. one of the largest artist donations since the fund was created.""

https://t.co/fZIhhXVzIg https://t.co/lA4jwqLFxP",[],[],"bts amp bh donate million live nation crew nation campaign fund launch march support live concert crew across globe impact one large artist donation since fund created.""

",,"[{'score': 0.57292, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
5580,elijah_ford,wherever the wind takes me,"deering, ohio",617,969,6067,2012-02-09 00:43:54,2020-06-22 03:24:08,29317,"Kentucky has used Covid-19 as an excuse to slash polling places for Tuesday’s vital primary to defeat #MitchMcConnell. There were 3500+. Now, there are 200. 

Jefferson County, where half the Black voters are, will have 1 polling place for 610,000+ voters.
https://t.co/mTJT1dSVP9",['mitchmcconnell'],[],"kentucky use excuse slash polling place tuesday’s vital primary defeat 

jefferson county half black voter poll place voters.
","[{'sentence_id': 0, 'text': 'kentucky use excuse slash polling place tuesday’s vital primary defeat ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'jefferson county half black voter poll place voters.', 'tones': []}]",[],,,,,,,
5581,oshunflame,justin 🇯🇲🇩🇴| rising to the top | sinfonian since ‘18 | that nigga forever | uncg | he/him,"fayetteville, nc",248,295,5579,2016-04-14 13:42:17,2020-06-21 02:36:45,0,"oh i can’t wait until covid attacks all of those trumps supporters systems 😚 hopefully it’s evolved into a stronger virus now or something, take them out pls",[],[],oh can’t wait covid attack trump supporter system hopefully it’s evolve strong virus something take pls,,"[{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5582,James_Trails,"election 2020: pray for the best, prepare for the worst",n.a,2617,1595,6304,2019-10-22 01:46:26,2020-06-22 02:10:32,1178,"Trump - Shut the border 
Media - You’re a racist 
Trump - Shut the border 
Media - You didn’t do it fast enough 

Media - Chinese Wuhan virus 
Trump- Chinese Virus 
Media - You’re a racist 

Media We need a leader to give hope 
Trump- Have hope 
Media - You’re giving false hope",[],[],"trump shut border 
media you’re racist 
trump shut border 
media didn’t fast enough 

media chinese wuhan virus 
trump chinese virus 
media you’re racist 

media need leader give hope 
trump hope 
media you’re give false hope","[{'sentence_id': 0, 'text': 'trump shut border ', 'tones': [{'score': 0.517317, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'media you’re racist ', 'tones': []}, {'sentence_id': 2, 'text': 'trump shut border ', 'tones': [{'score': 0.517317, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 3, 'text': 'media didn’t fast enough ', 'tones': []}, {'sentence_id': 4, 'text': '', 'tones': []}, {'sentence_id': 5, 'text': 'media chinese wuhan virus ', 'tones': []}, {'sentence_id': 6, 'text': 'trump chinese virus ', 'tones': []}, {'sentence_id': 7, 'text': 'media you’re racist ', 'tones': []}, {'sentence_id': 8, 'text': '', 'tones': []}, {'sentence_id': 9, 'text': 'media need leader give hope ', 'tones': [{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 10, 'text': 'trump hope ', 'tones': [{'score': 0.998976, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 11, 'text': 'media you’re give false hope', 'tones': [{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.968547, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5583,cmusician,"mus bac, uoft, retired teacher, amateur fishing guide; rts are not endorsements; may be triggered by incredulity ..",n.a,4041,3719,242531,2011-02-20 16:13:37,2020-06-22 01:19:23,5,"@jlay02 @ZackTeitel @JBradshaw01 @noasbobs @BBFarhadi @PowerLrn @munakadri @JCasaTodd @RamonaMeharg @rolandvo @heidi_allum @sarahsanders33 @CoachJCummings @CarolCampbell4 @Educhatter @MarciaMentor @ESL_fairy @Stephen_Hurley @mkbtuc @BallantyneCW Sobering reminder that this is about saving lives of teachers &amp; students: https://t.co/8O7o06Yfo7
Discussion by Feds yesterday re: refusal to work for safety reasons is salient- I suspect it's premature to think about this until we see how vaccines &amp; flattening the curve play out",[],"['@jlay02', '@ZackTeitel', '@JBradshaw01', '@noasbobs', '@BBFarhadi', '@PowerLrn', '@munakadri', '@JCasaTodd', '@RamonaMeharg', '@rolandvo', '@heidi_allum', '@sarahsanders33', '@CoachJCummings', '@CarolCampbell4', '@Educhatter', '@MarciaMentor', '@ESL_fairy', '@Stephen_Hurley', '@mkbtuc', '@BallantyneCW']","sober reminder save life teacher amp student 
discussion fed yesterday refusal work safety reason salient suspect premature think see vaccine amp flatten curve play","[{'sentence_id': 0, 'text': 'sober reminder save life teacher amp student ', 'tones': [{'score': 0.636258, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'discussion fed yesterday refusal work safety reason salient suspect premature think see vaccine amp flatten curve play', 'tones': [{'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.911475, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.865388, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.973758, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
5584,Varun_Mishra1,"न ही लक्ष्मी कुलक्रमज्जता ,न ही भूषणों उल्लेखितोपि वा ।
खड्गेन आक्रम्य भुंजीतः , वीर भोग्या वसुंधरा।। 🇮🇳
passionate about justice ☃️","uttar pradesh, india",68,5,9,2016-11-17 16:06:35,2020-06-22 03:42:37,0,"@MinistryWCD @PIB_India @MIB_India @airnewsalerts @DDNewslive @NCPCR_ @NITIAayog @moayush @shripadynaik 57 girls at a state-run children's shelter home in Uttar Pradesh''s Kanpur district have tested positive for COVID-19, with five of them found to be pregnant,Two other girls in the shelter home, who are also pregnant, have tested negative for the virus .
Please look into this !",[],"['@MinistryWCD', '@PIB_India', '@MIB_India', '@airnewsalerts', '@DDNewslive', '@NCPCR_', '@NITIAayog', '@moayush', '@shripadynaik']","girl state-run children's shelter home uttar pradesh''s kanpur district test positive five find pregnant,two girl shelter home also pregnant test negative virus 
please look","[{'sentence_id': 0, 'text': ""girl state-run children's shelter home uttar pradesh''s kanpur district test positive five find pregnant,two girl shelter home also pregnant test negative virus "", 'tones': [{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'please look', 'tones': []}]","[{'score': 0.901164, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
5585,_BobbyGee_,n.a,"district of columbia, usa",383,608,37800,2014-12-19 10:09:06,2020-06-23 01:28:11,0,DMV Ain’t Gone Like It Till One Of These Promoters Or IG Models Die From COVID 19 Then Niggas Gone Wanna Stay Home,[],[],dmv ain’t go like till one promoter ig model die covid nigga go wanna stay home,,"[{'score': 0.853415, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
5586,John99901177,n.a,n.a,5,2,20,2020-04-28 09:00:27,2020-06-22 02:14:31,80,The Adria Tour final has been cancelled after Grigor Dimitrov confirmed he had tested positive for COVID-19 on Sunday.,[],[],adria tour final cancel grigor dimitrov confirm tested positive sunday,,"[{'score': 0.715432, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,1.0,1.0,,
5587,stockholm_777,i guess.,"greenfield, in",67,15,223,2020-02-13 21:43:52,2020-06-23 01:26:22,46406,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
5588,destr278,"i believe in filthy-commieism with texan characteristics.

master of the blade and the way of the dude.

they/them
 
abolish gender lol","texas, usa",530,110,15353,2016-08-21 08:23:15,2020-06-20 02:51:56,25313,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
5589,Thevoiceinmyhea,n.a,"ridgewood, nj",38,279,28901,2016-12-16 02:05:39,2020-06-22 02:11:30,39777,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5590,Johnmcc54275019,"vietnam vet, musician, art. christian.✝ american legion, stand down volunteer, yoga & gym. us navy","hammonton, nj",743,333,10288,2019-07-26 00:58:21,2020-06-21 04:17:29,1951,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,1.0,,,,
5591,shirleyyoung2,"tour guide, story-teller.  i draw.  i paint.  have been known to tap-dance and sing badly.  multi-skilled, but can't type...","fife, scotland",789,1299,308374,2011-06-06 19:41:59,2020-06-22 01:19:01,1304,"Conservative MP Helen Whately, who likes laughing, has claimed that the government has “no plans” to backdate a new £5,000 grant for student nurses as they “are not deemed to be providing a service”. 

25,000 student nurses opted to join the fight against Covid-19.",[],[],conservative mp helen whately likes laugh claimed government “no plans” backdate new grant student nurse “are deem provide service” student nurse opt join fight,,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5592,HuofHarted,#damnproudtoobeanamerican 🇺🇸🇺🇸 #leavetheshadows #draintheswamp #americafirst #trumptrain #maga #walkaway #dawgfan proud papa of three beautiful children,"athens, ga",3988,3630,17150,2010-02-01 14:06:53,2020-06-21 04:21:15,1951,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,1.0,,,,
5593,suzmahan,n.a,n.a,112,63,130,2015-03-21 13:21:36,2020-06-21 03:33:24,128,More hang American flags than tear them down.There are more good cops than bad. There are more negative tests than positive corona virus tests. More people want to unite than divide. More want to acknowledge injustice than ignore. We are better than some want you to believe.,[],[],hang american flag tear down.there good cop bad negative test positive corona virus test people want unite divide want acknowledge injustice ignore well want believe,"[{'sentence_id': 0, 'text': 'hang american flag tear down.there', 'tones': [{'score': 0.551608, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'good cop bad negative test positive corona virus test people want unite divide want acknowledge injustice ignore well want believe', 'tones': [{'score': 0.578853, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.752368, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.648089, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.940365, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,1.0,,,,
5594,__ice9,i do quantitative things.  sometimes i think about society and economics.,"chicago, il",2100,4970,44729,2017-01-26 07:47:20,2020-06-21 03:44:31,44,"New preprint: Patients w/ severe/critical COVID-19 may shed infectious virus longer. Infectious virus unlikely below a viral load threshold &amp; once serum neutralizing ABs present. Quantitative PCR, serology may help in decisions to end IPC precautions.

https://t.co/qQKeNCy2dp https://t.co/uZHBKQGyRN",[],[],"new preprint patient severe/critical may shed infectious virus longer infectious virus unlikely viral load threshold amp serum neutralize abs present quantitative pcr serology may help decision end ipc precautions.

",,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5595,ChrisMa93282593,"philly📍
maryland📍
plz get a life🙄✌🏾",n.a,63,20,552,2020-02-06 02:57:52,2020-06-21 02:47:06,108,"Ok, he's now just going for applause to soothe his bruised ego.
""Chinese virus"" ""fake news"" ""build the wall"" ""CNN"" ""law and order"" ""thugs""",[],[],"ok he's go applause soothe bruise ego.
""chinese virus fake news build wall cnn law order thug","[{'sentence_id': 0, 'text': ""ok he's go applause soothe bruise ego."", 'tones': []}, {'sentence_id': 1, 'text': '""chinese virus fake news build wall cnn law order thug', 'tones': [{'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]","[{'score': 0.859164, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.505031, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
5596,TomthunkitsMind,tomthunkit's mind diner is open 24/7. all-you-can-eat smorgasbord of hand-picked deliciously sweet tweets for your political palate. donations welcome.,"atlanta, ga",68624,71889,2471983,2011-04-28 01:56:15,2020-06-22 03:22:11,1,"Watch hospital staff cheer for a mom and her newborn daughter after they both beat COVID-19 https://t.co/nZDQGdLmLg 02
#FixThePolice",['fixthepolice'],[],watch hospital staff cheer mom newborn daughter beat,,[],,,,,,,
5597,Sharina_Jasmine,ncat22,"holly springs, nc",479,218,11783,2017-05-29 16:14:00,2020-06-22 03:22:37,26189,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5598,lilyyang88,"💜 there's always more love to give, and kindness to share!!
~1st sem nursing student💉 ~22yo🙋 ~fighter💪
header: @/zaynscandycane","fresno, ca",103,19,2192,2012-06-05 23:31:43,2020-06-23 01:08:28,40970,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
5599,kunmonipatir,n.a,n.a,7,0,34,2020-06-15 03:40:05,2020-06-20 03:19:19,517,"#cancelcbseboardexams2020 
@HRDMinistry
@DrRPNishank 
@PMOIndia  
Sir please cancel CBSE exams. Students in depression due to corona virus: My friend is very much in depression. What happens with depression: You will know this.🙏🙏",['cancelcbseboardexams2020'],"['@HRDMinistry', '@DrRPNishank', '@PMOIndia']","

 
sir please cancel cbse exams student depression due corona virus friend much depression happen depression know",,"[{'score': 0.935308, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,1.0,,
5600,kchalkin,nonprofit cfo and business adviser to small and medium size privately owned businesses and non-profit organizations.,"amesbury, ma, usa",224,117,3397,2009-06-01 12:48:05,2020-06-22 02:31:10,0,"#PeterNavarro is being interviewed now by Jake Tapper on  #CNN. I would not buy a used car from this guy. He is talking about the ""China Virus"" saying that the Chinese hoisted this upon us and that it is an open question as to whether China did this on purpose.","['peternavarro', 'cnn']",[],interview jake tapper would buy used car guy talk china virus say chinese hoist upon open question whether china purpose,,"[{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5601,Yijungyon,"send those who want to give thanks to jesus /
swift code :scblkrse , standard chartered first bank , korea seoul jingeon branch 648-85-003637 /  yi, jung yon",south korea and u.s.a.,1362,594,8392,2011-02-06 11:29:46,2020-06-21 03:16:02,0,"1. 
Because of your crimes &lt;Criminals of entertainer in South korean and murders of Hollywood&gt;,  people are dying from the punishment of 
the 'corona virus 19'.  As you are committing repetitive abominable offenses, you more brutally kill in the pain of slaughter and abuse. Even https://t.co/K1woq898Tj https://t.co/kVLrWLC2XJ",[],[],"
because crime lt;criminals entertainer south korean murder hollywood&gt people die punishment 
the corona virus commit repetitive abominable offense brutally kill pain slaughter abuse even","[{'sentence_id': 0, 'text': 'because crime lt;criminals entertainer south korean murder hollywood&gt people die punishment ', 'tones': [{'score': 0.692214, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'the corona virus commit repetitive abominable offense brutally kill pain slaughter abuse even', 'tones': [{'score': 0.604662, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.678343, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.616216, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,1.0,,,,
